# taue, taui, alpha, speed, gei, gii, tauC, pearsonr, sub, flag, status, success
1.235249905029383477e+01,7.842243597555175860e+00,7.430078900334015080e-01,2.000000000000000000e+01,1.000000000000000021e-03,1.019545353126601661e+00,2.000000000000000000e+01,8.772275327310776749e-01,2.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.824962560957521518e+00,2.000000000000000000e+01,1.000000000000000056e-01,1.652570007094147897e+01,1.000000000000000021e-03,1.000000000000000000e+00,1.659600265626782090e+01,9.172603092120070745e-01,2.600000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,7.883587970105739196e+00,9.669323790771667815e-01,1.365573093318654863e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,9.038295465903278814e-01,2.700000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.486233889101883143e+00,1.774783236012726206e+01,1.000000000000000056e-01,1.948699703985778342e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,9.030081081996645942e-01,2.800000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,8.700814709832416227e+00,1.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,9.338702814969231936e-01,2.900000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.391010184931701588e+00,2.000000000000000000e+01,9.975576927934269866e-01,2.000000000000000000e+01,1.662668806797859278e-01,1.000000000000000000e+00,2.000000000000000000e+01,9.351747391178113489e-01,3.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.159270425342462829e+00,2.000000000000000000e+01,1.000000000000000000e+00,1.198932824565917166e+01,2.935010080150596973e-02,1.000000000000000000e+00,1.603130768028043818e+01,9.047659183616407752e-01,3.100000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.324343257788767048e+00,2.000000000000000000e+01,8.751607100056063571e-01,1.875783322459419367e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,8.616960244562535953e-01,3.200000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.318153714180032310e+01,7.250371131957345838e+00,8.881531610056720982e-01,1.940565959908391136e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,9.203735705450831750e-01,3.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.335310971582364203e+01,7.430222977217812108e+00,2.786146061961700671e-01,2.000000000000000000e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,8.930517346714433868e-01,3.400000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.570853734225584475e+01,7.293690319737017980e+00,7.522925146902841309e-01,2.000000000000000000e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,9.040903725822375669e-01,3.500000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
