# taue, taui, alpha, speed, gei, gii, tauC, pearsonr, sub, flag, status, success
1.960715926293908140e+01,1.065328812272570325e+01,1.000000000000000000e+00,9.420240248886518231e+00,8.898357939223375812e-01,5.000000000000000000e-01,2.000000000000000000e+01,9.175500241757222897e-01,2.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.208554660753862642e+00,1.600735070538803129e+01,1.000000000000000056e-01,6.854093314025279327e+00,5.000000000000000000e-01,7.582902824668924513e-01,1.110956221944398870e+01,8.005326988746067629e-01,2.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.131284742345302696e+01,1.604841210245938754e+01,8.328621309963563091e-01,2.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,2.000000000000000000e+01,8.750971768093122050e-01,2.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.136167161642015699e+00,1.304706384539550612e+01,8.760922035756522064e-01,1.636077513540572070e+01,5.000000000000000000e-01,5.709183535974721169e-01,1.676895794987538935e+01,9.136698776260736565e-01,2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.931677779249279325e+01,1.732926610351733032e+01,1.000000000000000056e-01,8.319981842658707549e+00,5.000000000000000000e-01,5.000000000000000000e-01,2.000000000000000000e+01,9.033512147750017984e-01,2.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,1.576185352665666350e+01,9.669826890764596783e-01,2.000000000000000000e+01,8.710543914339249350e-01,5.000000000000000000e+00,5.306715168952785611e+00,8.948803565975023133e-01,2.800000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.926607803066643143e+01,1.828917323114226434e+01,1.000000000000000056e-01,1.396247597347290714e+01,5.000000000000000000e-01,5.000000000000000000e-01,2.000000000000000000e+01,9.327450232887739556e-01,2.900000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.710367987025971814e+00,1.552200946889469080e+01,1.000000000000000056e-01,2.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e-01,2.000000000000000000e+01,9.335295425164863437e-01,3.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.586472902861670420e+00,1.625054220235330860e+01,1.000000000000000056e-01,5.518545989295501997e+00,5.000000000000000000e-01,5.086923138222541052e-01,1.550719629996021709e+01,9.031261296439540009e-01,3.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.785907057859337677e+00,1.602461345779823887e+01,1.000000000000000056e-01,9.611446751470477778e+00,5.000000000000000000e-01,5.025504951513738439e-01,1.840284854726129282e+01,8.597757569802167987e-01,3.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.207891998899457242e+01,1.583069803141140852e+01,9.164250197504143491e-01,1.967785690179649549e+01,5.000000000000000000e-01,5.000000000000000000e+00,2.000000000000000000e+01,9.153989041888523914e-01,3.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.222980242275633422e+01,1.572542883577311734e+01,4.257501307342059782e-01,2.000000000000000000e+01,7.262324919832038317e-01,5.000000000000000000e+00,2.000000000000000000e+01,8.932042057371094579e-01,3.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.442391152596846382e+01,1.580758322074799871e+01,7.755166718203545528e-01,2.000000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,2.000000000000000000e+01,8.990722702752118600e-01,3.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
